time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 22:07:27.570,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:27.720,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:27.833,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:27.945,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:28.058,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:28.170,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:28.320,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:28.433,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:28.545,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:28.658,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:28.770,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:28.920,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:29.033,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:29.145,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:29.195,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,84020103B40064000000FF
Oct 29 22:07:29.257,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:29.258,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:29.259,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,89020100B4006400B400FF
Oct 29 22:07:29.332,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:29.334,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,8E020100B4006400B400FF
Oct 29 22:07:29.371,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:29.407,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:29.409,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,93020100B4006400B400FF
Oct 29 22:07:29.483,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
